category,prestation,type,value
gestion_de_compte,ouverture_compte_courant,personnel,3qdi5xxk
,,professionnel,8zb1iti1
,,entreprise,0topwng2
,tenue_compte_courant,personnel,y33vnxyu
,,professionnel,tqqgxit9
,,entreprise,qy0zaogl
,ouverture_compte_cheque,personnel,o62xp3ky
,,professionnel,av18c237
,,entreprise,pfnh07i8
,tenue_compte_cheque,personnel,zl116ip6
,,professionnel,yt09zvkb
,,entreprise,c4rlrr56
,ouverture_compte_epargne,personnel,htqw9ity
,,professionnel,pc8o6qut
,,entreprise,7ydns2lo
,tenue_compte_epargne,personnel,cttgmq7x
,,professionnel,574yb61r
,,entreprise,35ojm6qp
,ouverture_compte_devise,personnel,i9pdwy18
,,professionnel,yvz1bsa9
,,entreprise,y140i9vi
,tenue_compte_devise,personnel,59cka8n7
,,professionnel,cgfy3o5w
,,entreprise,pkidkh2f
,fermeture_de_compte,personnel,cstli3rh
,,professionnel,zqva6t5l
,,entreprise,yieh0slp
gestion_a_distance,e_banking_abonnement,personnel,mjhdu30l
,,professionnel,onod4c6h
,,entreprise,kz7yv8qp
,e_banking_consultation_solde,personnel,lp12la76
,,professionnel,gurcl57u
,,entreprise,8uw6vtwf
,e_banking_virement,personnel,axe2fimf
,,professionnel,dzvyl1pr
,,entreprise,u1p28zgv
,e_banking_paiment,personnel,7riciroi
,,professionnel,6hod6rm4
,,entreprise,kqgswp9i
,sms_banking_abonnement,personnel,1hvqz57y
,,professionnel,igqtvy4q
,,entreprise,t1320zun
,sms_banking_virement_en_agence,personnel,2tgz2pox
,,professionnel,rjpesoln
,,entreprise,clqt1khb
,sms_banking_virement_hors_agence,personnel,ve8lc5tj
,,professionnel,oz7aad5z
,,entreprise,mhuv7st3
,service_contact,personnel,v8tviwuv
,,professionnel,frwai1o6
,,entreprise,q4zeg73u
option_de_payment,versement_en_agence,personnel,wnlxg2pb
,,professionnel,vpoqu1ch
,,entreprise,2ukriupp
,versement_hors_agence,personnel,g1m4l14k
,,professionnel,ivjd6n5o
,,entreprise,o9a2h5qq
,virement_en_agence,personnel,do6y3qh3
,,professionnel,2esu45vd
,,entreprise,83s39eqq
,virement_hors_agence,personnel,tvq9nvxb
,,professionnel,x2ux1w6v
,,entreprise,si82w6ox
,prelevement_en_agence,personnel,5a4qvi7g
,,professionnel,s3w283n3
,,entreprise,8033wir2
,prelevement_hors_agence,personnel,brgoeih2
,,professionnel,3bz4nab3
,,entreprise,zewnh9in
,retraits_en_agence,personnel,0h94pnqe
,,professionnel,u3sesx1b
,,entreprise,dteoynpr
